Document Title;Publication Year;Authors;Source Title;Abstract;Library;DOI
Dynamic resource allocation for jointing vehicle-edge deep neural network inference;;Qi Wang, Zhiyong Li, Ke Nai, Yifan Chen, Ming Wen;Journal of Systems Architecture;The emergence of mobile edge computing provides an efficient and stable computing platform for intelligent applications of autonomous vehicles, and deep neural network (DNN) based tasks collaborative inference through joint device-edge is considered an effective way to reduce latency. However, the computing resources allocated to the vehicle are dynamic as the number of requesters changes due to the limitation of edge server resources, which causes the best partition point of the DNN is not fixed. In this paper, we consider a dynamic resource allocation scheme to select the best partition point of DNN inference tasks by vehicle-edge collaborative computing. Specifically, the latency constrained DNN tasks of vehicles are partially offloaded to edge at the granularity of DNN layers. Considering the heterogeneity of vehicular computing capabilities and multiple DNN inference tasks, we formulate an optimization problem for dynamic resource allocation and automatically select the best partition point to minimize the overall latency of all vehicles, which is NP-hard. Then we design a chemical reaction optimization based algorithm for low complexity to solve the problem. The results of extensive evaluations illustrate that our proposed scheme is superior to other baseline schemes in terms of overall latency, and with lower failure rate.;ScienceDirect;10.1016/j.sysarc.2021.102133.
Self-healing and optimal fault tolerant routing in wireless sensor networks using genetical swarm optimization;;Shyama M, Anju S. Pillai, Alagan Anpalagan;Computer Networks;A wireless sensor network (WSN) is used in area monitoring, surveillance, virtual reality, artificial intelligence, etc. The interaction between sensor nodes (SNs) and base station (BS) play a major role in WSN. SNs use more energy to transmit data, and the occurrence of faults in these nodes may lead to complete network failure. To ensure enhanced network performance, the incorporation of an efficient fault detection mechanism becomes essential in WSN. The major aim of the work is to improve the self-healing capacity of the network. To meet the above requirement, a fault-tolerant routing path identification with genetical swarm optimization (FTGSO) is introduced in this work. Genetical swarm optimization (GSO) is the integration of the two optimizations like Genetic Algorithm (GA) and Particle swarm optimization (PSO). The cluster head (CH) selection carried out on the basis of residual energy, coverage, communication cost and proximity. Further, a fault-free routing path is introduced by GSO, and a self-healing method is employed to resolve any network connectivity issues and resume the normal system operation. The analysis and simulation outcomes are compared with other optimization algorithms to verify the effectiveness. The evaluation results verify the enhanced performance of the introduced scheme with a higher PDR (packet delivery ratio) of 96.8%, lower energy consumption of 0.19 J with a minimum packet loss ratio of 3.2% and 30 ms of E2E (end-to-end delay) compared to other existing routing protocols. Also, the performance of the proposed method is compared on the basis of E2E, energy efficiency, (PLR) packet loss ratio and PDR.;ScienceDirect;10.1016/j.comnet.2022.109359.
Persuasive: A node isolation attack variant for OLSR-based MANETs and its mitigation;;Nadav Schweitzer, Liad Cohen, Amit Dvir, Ariel Stulman;Ad Hoc Networks;Mobile ad hoc networks (manets) are self-creating, self-configuring, self-healing, decentralized adaptive networks. The Optimized Link State Routing protocol (olsr) is one of four base routing protocols for use in ad hoc networks. manet’s routing protocols, however, are vulnerable to various attacks. In this paper we introduce persuasive, a new, sophisticated and devastating node isolation attack variant against the olsr protocol. This attack allows for an attacker model with enhanced capabilities. We then present a novel technique to mitigate persuasive. The technique guarantees protection for all feasible topologies, incuring only local (centered around the attacker) and relatively-low overhead, independent of the network’s topology. Our new protection mechanism does not disclose its activity to the attacker, and does not impose any network overhead if an attack is not launched. The novelty of the current approach is rooted in the fact that only inherent capabilities of the olsr protocol are used. This allows for quiet discovery of the adversary, and easy integration with deployed systems. We simulate persuasive and its mitigation with ns3, comparing it with several state-of-the-art protection alternatives. We show that launching persuasive in a dynamic network while our mitigation mechanism is activated, will not only fend off the attack with success rates running between 93% for small networks and 100% for larger ones, but also enhance the victim’s connectivity. It is shown that the average end-to-end delay incurred is also better than existing alternatives, and only slightly worse than native olsr (without any protection).;ScienceDirect;10.1016/j.adhoc.2023.103192.
SLOPE: Safety LOg PEripherals implementation and software drivers for a safe RISC-V microcontroller unit;;Francesco Cosimi, Antonio Arena, Sergio Saponara, Paolo Gai;Microprocessors and Microsystems;"The focus of this manuscript is related to the main safety issues regarding a mixed criticality system running multiple concurrent tasks. Our concerns are related to the guarantee of Freedom of Interference between concurrent partitions, and to the respect of the Worst Case Execution Time for tasks. Moreover, we are interested in the evaluation of resources budgeting and the study of system behavior in case of occurring random hardware failures. In this paper we present a set of Safety LOg PEripherals (SLOPE): Performance Monitoring Unit (PMU), Execution Tracing Unit (ETU), Error Management Unit (EMU), Time Management Unit (TMU) and Data Log Unit (DLU); then, an implementation of SLOPE on a single core RISC-V architecture is proposed. Such peripherals are able to collect software and hardware information about execution, and eventually trigger recovery actions to mitigate a possible dangerous misbehavior. We show results of the hardware implementation and software testing of the units with a dedicated software library. For the PMU we standardized the software layer according to embedded Performance Application Programming Interface (ePAPI), and compared its functionality with a bare-metal use of the library. To test the ETU we compared the hardware simulation results with software ones, to understand if overflow may occur in internal hardware buffers during tracing. In conclusion, designed devices introduce new instruments for system investigation for RISC-V technologies and can generate an execution profile for safety related tasks.";ScienceDirect;10.1016/j.micpro.2024.105103.
A genetic algorithm approach for service function chain placement in 5G and beyond, virtualized edge networks;;Lina Magoula, Sokratis Barmpounakis, Ioannis Stavrakakis, Nancy Alonistioti;Computer Networks;Network Function Virtualization (NFV) is already considered as a structural enabler of today’s networking technology and particularly the 5th Generation of Broadband and Cellular Networks (5G). NFV provides the means to flexibly and dynamically manage and allocate resources, without being restricted to the hardware limitations of the network/cloud infrastructure. Resource orchestration for specific 5G vertical industries and use case families, such as Industry 4.0 and Industrial Internet of Things (IIoT), often introduce very strict requirements in terms of network performance. In such a dynamic environment, the challenge is to efficiently place directed graphs of Virtual Network Functions (VNFs), named as SFCs (Service Function Chains), to the underlying network topology and to dynamically allocate the required resources. To this end, this work presents a novel framework, which makes use of a delay and location aware Genetic Algorithm (GA)-based approach, in order to perform optimized sequential SFC placement. Evaluation results clearly demonstrate the effectiveness of the proposed framework in terms of producing solutions that approximate well the global optimal, as well as achieving low execution time due to the employed GA-based approach and the incorporation of an early stopping criterion. The performance benefits of the proposed framework are evaluated in the context of an extensive set of simulation-based scenarios, under diverse network configurations and scales.;ScienceDirect;10.1016/j.comnet.2021.108157.
Integrated predictive motion control for electric vehicles: A fast solution for safety and control-constrained optimization;;Zihan Li, Ping Wang, Hanghang Liu, Yunfeng Hu;Advanced Engineering Informatics;Electric vehicles equipped with flexible and independent motors is promising to make rapid and precise adjustments in vehicle motion, thereby enhancing active safety. However, coupled dynamics inevitably leads to coordinated optimization with multiple constraints, especially under extreme conditions on rough terrain, which also imposes greater demands on the real-time capability of the on-board control system. To address the above challenge, this paper proposes an integrated hierarchical control strategy to enhance overall vehicle stability and safety, utilizing a fast iterative optimization solution that incorporates both state and control constraints. At the high level, a nonlinear model predictive controller (NMPC) is designed to meet multiple safety control requirements, employing tire slip ratios solved as virtual control inputs. The oriented prediction model captures road unevenness, tire combined-slip characteristics, and dynamic loads. To enhance computational efficiency, a Pontryagin’s Minimum Principle (PMP)-based fast-solving algorithm is employed, reformulating the nonlinear optimization problem into a two-point boundary value problem and addressing original hard constraints through terminal covariate adjustments. At the low level, another predictive controller is implemented to regulate motor torques, ensuring accurate tracking of the desired tire slip ratios. Hardware-in-the-loop test results demonstrate improved overall vehicle stability under challenging driving conditions, with the millisecond-level solution effectively achieving more constrained and satisfactory performance. Additionally, the designed PMP-based fast solution method achieves a nearly 60% speedup compared to the traditional sequential quadratic programming (SQP).;ScienceDirect;10.1016/j.aei.2025.103597.
High power handling GaAs SP4T Switch-based Beam-Switching planar antenna module for 5G New-Radio FR2 applications;;Yi-Fan Tsao, Heng-Tung Hsu, Arpan Desai;AEU - International Journal of Electronics and Communications;In this paper, a beam-switching antenna module for 5G New-Radio (NR) frequency range 2 (FR2) applications is proposed. The module is constructed with a single-pole-quadruple-throw (SP4T) switch featuring high power handling capability, low insertion loss, and higher isolation, which is integrated with a 4 × 4 Butler matrix and an end-fire antenna array for achieving beam switching characteristics. The system is realized on the Rogers RO3010 substrate which achieved a compact size of 4.67?0 × 2.06?0 × 0.031?0 (f0 = 38 GHz) due to a higher integration level and demonstrated a decent impedance bandwidth of (15.78 %) 35–41 GHz with four beam patterns directing along + 14°, ?40°, +49°, and ?16°, respectively. The experimental results show an advantage in RF performance with high integration level which is promising for 5G NR n260 band communication applications.;ScienceDirect;10.1016/j.aeue.2022.154494.
Virtual attention points: Bridging human movement characteristics and dexterous robot motion generation;;Abed Soleymani, Yafei Ou, Xingyu Li, Mahdi Tavakoli;Robotics and Autonomous Systems;In this study, we introduce Virtual Attention Points (VAPs) as a novel technique for characterizing the essence of dexterous human movements through mathematical encoding. This method focuses on pivotal points to capture movement dynamics, resulting in the generation of versatile and human-like motions for robotic systems. The proposed method inspired by the idea of human movement primitives (MPs) generates an interpretable low-dimensional representation for a given complex movement based on a new encoding basis function. Our approach achieves a remarkable 97% improvement in encoding accuracy for dexterous demonstrations with agile maneuvers and sharp turns, surpassing existing MP-based methods, enhancing the precision of fine manipulation and elevating the fidelity of encoded actions to the human movement. The precise replication of crucial poses and underlying behaviors highlights the efficacy of our approach in faithfully capturing the intricacies of expert human demonstrations. Our approach also generates a meaningful and interpretable representation of each demonstration, which encapsulates the skills-related features for performance assessment purposes. We propose a novel trajectory cloning algorithm that minimally warps various movement demonstrations such that starting and end points of motions will be manipulated to desired locations. Our work holds transformative potential, especially in enhancing surgical training and autonomous surgical systems, where precision and human-like dexterity are paramount. As surgical operations necessitate dexterous trajectories to execute specific functional tasks like suturing, we implement the proposed method to assess its performance in surgical skills and autonomous surgery tasks.;ScienceDirect;10.1016/j.robot.2025.104946.
A digital twin system for Task-Replanning and Human-Robot control of robot manipulation;;Xin Li, Bin He, Zhipeng Wang, Yanmin Zhou, Gang Li, Zhongpan Zhu;Advanced Engineering Informatics;In order to enhance the robustness of robots in scenarios with dynamic and complex manipulation tasks and respond quickly to the demands of personalized manufacturing, we propose a DT prototype system named “Alita” to achieve effectively task replanning and human-robot control, inspired by the real-time and closed-loop characteristics of DT. Alita constructs a DT representation with four layers, encoding the geometric, physical and visual dynamics of the work scene, and further obtains unified semantic expressions. Based on this DT representation, Alita establishes two accessible strategies, forming a two-way information feedback loop that endows it with the capability to optimize real robot manipulation. The first strategy presents a deep learning-based model that combines a graph network and a long short-term memory network, and introduces a specialized dataset to replan the manipulation task. The second strategy adopts a multi-virtual force constrained hybrid mapping method of joints and poses to achieve human-robot control. For performance evaluation, we study two cases involving multiple manipulation task replanning and human-robot collaborative grasping. Empirical results demonstrate that Alita accomplishes effectively the tasks of replanning and human-robot control, and mitigates the interferences of environment and task mutations.;ScienceDirect;10.1016/j.aei.2024.102570.
A low-level resource allocation in an agent-based Cloud Computing platform;;Javier Bajo, Fernando De la Prieta, Juan M. Corchado, Sara Rodríguez;Applied Soft Computing;The distribution of computational resources in a Cloud Computing platform is a complex process with several parameters to consider such as the demand for services, available computational resources and service level agreements with end users. Currently, the state-of-the-art presents centralized approaches derived from previous technologies related to cluster of servers. These approaches allocate computational resources by means of the addition/removal of (physical/virtual) computational nodes. However, virtualization technology currently allows for research into new techniques, which makes it possible to allocate at a lower level. In other words, not only is it possible to add/remove nodes, but also to modify the resources of each virtual machine (low level resource allocation). Thus, agent theory is a key technology in this field, allowing decentralized resource allocation. This innovative approach has undeniable improvements such us computational load distribution and reduced computation time. The evaluation was carried out through experiments in a real Cloud environment, thus proving the validity of the proposed approach.;ScienceDirect;10.1016/j.asoc.2016.05.056.
FixM: Code generation of fixed point mathematical functions;;Daniele Cattaneo, Michele Chiari, Gabriele Magnani, Nicola Fossati, Stefano Cherubin, Giovanni Agosta;Sustainable Computing: Informatics and Systems;Approximate computing has seen significant interest as a design philosophy oriented to performance and energy efficiency [1]. Precision tuning is an approximate computing technique that trades off the accuracy of operations for performance and energy by employing less precise data types, such as fixed point instead of floating point. However, the current state-of-the-art does not consider the possibility of optimizing mathematical functions whose computation is usually off-loaded to a library. In this work we extend a precision-tuning framework to perform tuning of trigonometric functions as well. We developed a new mathematical function library, which is parameterizable at compile-time depending on the data type and works natively in the fixed point numeric representation. Through modification of a compiler pass, the parameterized implementations of these trigonometric functions are inserted into the program seamlessly during the precision tuning process. Our approach, which we test on two microcontrollers with different architectures, achieves a speedup of up to 180%, and energy savings up to 60%, with a negligible cost in terms of error in the results.;ScienceDirect;10.1016/j.suscom.2020.100478.
MIST: Fog-based data analytics scheme with cost-efficient resource provisioning for IoT crowdsensing applications;;Hamid Reza Arkian, Abolfazl Diyanat, Atefe Pourkhalili;Journal of Network and Computer Applications;Development of Internet of things (IoT) has revitalized the feature scale of wearables and smart home/city applications. The landscape of these applications encountering big data needs to be replotted on cloud instead of solely relying on limited storage and computational resources of small devices. However, with the rapid increase in the number of Internet-connected devices, the increased demand of real-time, low-latency services is proving to be challenging for the traditional cloud computing framework. Although, fog computing, by providing elastic resources and services to end users at the edge of network, emerges as a promising solution, but the upsurge of novel social applications such as crowd sensing has fostered the need for scalable cost-efficient platforms that can enable distributed data analytics, while optimizing the allocation of resources and minimizing the response time. Following the existing trends, we are motivated to propose a fog computing based scheme, called MIST (i.e. a cloud near the earth's surface with lesser density than fog), to support crowd sensing applications in the context of IoT. For cost-efficient provisioning limited resources, we also jointly investigate data consumer association, task distribution, and virtual machine placement towards MIST. We first formulate the problem into a mixed-integer non-linear program (MINLP) and then linearise it into a mixed integer linear program (MILP). A comprehensive evaluation of MIST is performed by consideration of real world parameters of the Tehran province, the capital of Iran. Results show that as the number of applications demanding real-time service increases, the MIST fog-based scheme outperforms traditional cloud computing.;ScienceDirect;10.1016/j.jnca.2017.01.012.
Investigation of 2-port UWB MIMO diversity antenna design using characteristics mode analysis;;Asutosh Mohanty, Bikash Ranjan Behera;AEU - International Journal of Electronics and Communications;In this research work, a 2-port UWB MIMO diversity antenna is designed to operate from 2.7 to 10.5 GHz with ?10 dB impedance bandwidth of 118.18%. The proposed design has a total size of 0.57?2.7×0.28?2.7 (?2.7 is lowest operating wave-length) consists of bi-planar printed fractal radiators whose feeds are contorted in geometry and are diametrically-fed. Characteristics mode analysis (CMA) is introduced to investigate antenna design, feeding technique and modal current distributions. The analysis includes study of modal dynamics, resonance mechanism, bandwidth potentials and modal radiation quality factor. The port-isolation is ??15 dB when ground plane is truncated by rectangular slots via ellipsoid slot. With an end-connected ground thin neutralization lines, mutual coupling is further reduced by 7.5 dB (>?22.5 dB, measured). The diversity performance metrics are evaluated from ECC, CCL, DG, multiplexing efficiency, MEG and TARC. ECC is low <0.17 (from far-field magnitudes) and mean effective gain for both ports are |MEG| < 3 dB with MEG1MEG2 ? 1, which is serviceable for UWB multi-standard mobile/wireless/sensor ad-hoc diversity systems. An equivalent circuit model is also designed and the prototype of antenna is fabricated and measured to validate its performance.;ScienceDirect;10.1016/j.aeue.2020.153361.
Effective and efficient neighbor detection for proximity-based mobile applications;;Behnaz Bostanipour, Benoît Garbinato;Computer Networks;We consider the problem of maximizing both effectiveness and efficiency of the detection of a device by another device in a mobile ad hoc network, given a maximum amount of time that they remain in the proximity of each other. Effectiveness refers to the degree to which the detection is successful, while efficiency refers to the degree to which the detection is energy saving. Our motivation lies in the emergence of a new trend of mobile applications known as proximity-based mobile applications which enable a user to communicate with other users in some defined range and for a certain amount of time. The highly dynamic nature of these applications makes neighbor detection time-constrained, i.e., even if a device remains in proximity for a limited amount of time, it should be detected with a high probability as a neighbor. In addition, the limited battery life of mobile devices requires the neighbor-detection to be performed by consuming as little energy as possible. To address this problem, we perform a realistic simulation-based study in mobile ad hoc networks and we consider three typical urban environments where proximity-based mobile applications are used, namely indoor with hard partitions, indoor with soft partitions and outdoor urban areas. In our study, a node periodically broadcasts a message in order to be detected as a neighbor. Thus, we study the effect of parameters that we believe could influence effectiveness and efficiency, i.e., the transmission power and the time interval between two consecutive broadcasts. Our results show that regardless of the environment, effectiveness and efficiency are in conflict with each other. Thus, we propose a metric that can be used to make good tradeoffs between effectiveness and efficiency.;ScienceDirect;10.1016/j.comnet.2014.12.013.
On building a CNN-based multi-view smart camera for real-time object detection;;Jonathan Bonnard, Kamel Abdelouahab, Maxime Pelcat, François Berry;Microprocessors and Microsystems;Multi-view image sensing is currently gaining momentum, fostered by new applications such as autonomous vehicles and self-propelled robots. In this paper, we prototype and evaluate a multi-view smart vision system for object recognition. The system exploits an optimized Multi-View Convolutional Neural Network (MVCNN) in which the processing is distributed among several sensors (heads) and a camera body. The main challenge for designing such a system comes from the computationally expensive workload of real-time MVCNNs which is difficult to support with embedded processing and high frame rates. This paper focuses on the decisions to be taken for distributing an MVCNN on the camera heads, each camera head embedding a Field-Programmable Gate Array (FPGA) for processing images on the stream. In particular, we show that the first layer of the AlexNet network can be processed at the nearest of the sensors, by performing a Direct Hardware Mapping (DHM) using a dataflow model of computation. The feature maps produced by the first layers are merged and processed by a camera central processing node that executes the remaining layers. The proposed system exploits state-of-the-art deep learning optimization methods, such as parameter removing and data quantization. We demonstrate that accuracy drops caused by these optimizations can be compensated by the multi-view nature of the captured information. Experimental results conducted with the AlexNet CNN show that the proposed partitioning and resulting optimizations can fit the first layer of the multi-view network in low-end FPGAs. Among all the tested configurations, we propose 2 setups with an equivalent accuracy compared to the original network on the ModelNet40 dataset. The first one is composed of 4 cameras based on a Cyclone III E120 FPGA to embed the least expensive version in terms of logic resources while the second version requires 2 cameras based on a Cyclone 10 GX220 FPGA. This distributed computing with workload reduction is demonstrated to be a practical solution when building a real-time multi-view smart camera processing several frames per second.;ScienceDirect;10.1016/j.micpro.2020.103177.
Security as a Service for Public Cloud Tenants(SaaS);;Mohamed Hawedi, Chamseddine Talhi, Hanifa Boucheneb;Procedia Computer Science;Cloud computing is a novel paradigm that is known for its elasticity and diversity in terms of the services provided to the end users. Although these services offer many benefits such as availability, cost-reduction, flexible payment plans, security, and efficiency, there are still several security concerns that are considered major obstacles preventing tenants from transferring their resources to the cloud. The security provided by the cloud service providers is still inadequate for the tenants security requirements because providers use standard security mechanisms regardless of the tenants requirements. Thus, cloud tenants cannot rely on the security provided by the cloud providers. Although, traditional intrusion detection systems have been proposed and developed by different entities including researchers, academicians, and practitioners as a solution that cloud providers can offer to their tenants to cope with security issues in the cloud, the requirements of the tenants in terms of security are not considered. It is very important, however, to consider the differences in the tenants security requirements to provide better security services. In this research, we concentrate on providing a security service that allows cloud tenants to monitor and protect their virtual environments by deploying a security mechanism that is capable of meeting their needs. The main contribution of this work is providing an efficient, flexible, and low-cost security as a service model - based on Intrusion Detection Systems (IDS) - that takes the tenants security requirements into consideration.;ScienceDirect;10.1016/j.procs.2018.04.143.
Design and Fabrication of SHRALA: Social Humanoid Robot Based on Autonomous Learning Algorithm;;Mounika Sakhineti, Sudharsan Jayabalan;Procedia Computer Science;This paper presents the preliminary research work in the Design, Fabrication of a Social Humanoid Robot based on Autonomous Learning Algorithm (SHRALA). Virtual Model of the humanoid robot was developed using Solidworks environment. This model is then fabricated using Creality Ender-3 3D printer. The electronic control circuit was designed and interfaced to computer using ATMEGA 2650 controller board, based on 8-bit AVR microcontroller. In order to easily and efficiently control the SHRALA a Graphical User Interface (GUI) was created using Unity3D editor, where a simple USB joystick was used to actuate the motions of the SHRALA in the virtual environment. The fabricated SHRALA was controlled in real time using a serial communication interface created between the GUI and Arduino Mega 2650 board. The humanoid robot was successfully controlled using the GUI environment and the preliminary results are satisfactory as it is performing the task as per the desired instructions. This research work is a part of the real time humanoid robot development project “SHRALA”, In near future autonomous learning algorithm will also be implemented in the robot and the same will be published as research article in a modular approach.;ScienceDirect;10.1016/j.procs.2020.04.220.
A lightweight mutual authentication and key agreement protocol for remote surgery application in Tactile Internet environment;;Ismaila Adeniyi Kamil, Sunday Oyinlola Ogundoyin;Computer Communications;The emergence of the fifth generation (5G) networks has revolutionized the cyberspace due to its ultra-low latency, huge capacity, higher data rate, and more reliable connections. One of such technological innovations is Tactile Internet which means remotely transmitting a physical sense of touch. Tactile Internet supports a number of realtime interaction applications such as augmented reality, virtual reality, gaming, smart grid, and ehealthcare. In the context of ehealthcare, Tactile Internet allows a surgeon to remotely operate a patient by implementing some control actions via a robotic system and receiving a haptic feedback. Although, the ultimate goal of this auspicious technology is to safe human lives, the aim may be jeopardized if proper security measures are not implemented. Any unauthorized access to the robotic system may lead to wrong surgical procedures that can cause havoc or even result to death. To this end, we develop an ultraefficient mutual authentication and key agreement protocol for Tactile Internet-assisted remote surgery application. The protocol is designed using a few cryptographic hash function and exclusive-OR operations. The security of the proposed protocol is demonstrated formally using Real-Or-Random (ROR) model, formal security verification using Automated Verification of Internet Security Protocols and Applications (AVISPA) toolkit and the generally-acknowledged Burrows–Abadi–Nedham (BAN) Logic, and information security analysis to corroborate the results of the formal security analyses. The functionality comparison and numerical analysis show the superiority of the proposed protocol over the state-of-the-art schemes. The experimental simulation reveals that the protocol is very efficient and suitable for practical deployment.;ScienceDirect;10.1016/j.comcom.2021.01.025.
Throughput optimization for Storm-based processing of stream data on clouds;;Huiyan Cao, Chase Q. Wu, Liang Bao, Aiqin Hou, Wei Shen;Future Generation Computer Systems;There is a rapidly growing need for processing large volumes of streaming data in real time in various big data applications. As one of the most commonly used systems for streaming data processing, Apache Storm provides a workflow-based mechanism to execute directed acyclic graph (DAG)-structured topologies. With the expansion of cloud infrastructures around the globe and the economic benefits of cloud-based computing and storage services, many such Storm workflows have been shifted or are in active transition to clouds. However, modeling the behavior of streaming data processing and improving its performance in clouds still remain largely unexplored. We construct rigorous cost models to analyze the throughput dynamics of Storm workflows and formulate a budget-constrained topology mapping problem to maximize Storm workflow throughput in clouds. We show this problem to be NP-complete and design a heuristic solution that takes into consideration not only the selection of virtual machine type but also the degree of parallelism for each task (spout/bolt) in the topology. The performance superiority of the proposed mapping solution is illustrated through extensive simulations and further verified by real-life workflow experiments deployed in public clouds in comparison with the default Storm and other existing methods.;ScienceDirect;10.1016/j.future.2020.06.009.
Improving schedulability and energy efficiency for window-constrained real-time systems with reliability requirement;;Linwei Niu, Jia Xu;Journal of Systems Architecture;"For real-time embedded systems, schedulability, energy efficiency, Quality of Service (QoS), and reliability are four highly co-related important design concerns. In this paper, we explore combining these four dimensions of design issues to achieve better schedulability and energy efficiency for real-time systems while satisfying the QoS and reliability requirements. The QoS requirements are deterministically quantified with the window-constraints, which require that at least m out of each non-overlapped window of k consecutive jobs of a real-time task meet their deadlines. Our contributions mainly consists of two parts: in the first part, we propose two off-line approaches for the management of appropriate mandatory/optional job partitioning with the purpose of improving the schedulability for real-time systems with window-constraints; based on it, in the second part, we proposed advanced techniques to reduce the energy consumption of the real-time systems while satisfying the reliability requirements. The results of extensive experiments demonstrate that our proposed techniques significantly outperform previous approaches in both schedulability and energy efficiency for real-time embedded systems while satisfying the window-constraints and reliability requirements.";ScienceDirect;10.1016/j.sysarc.2015.04.006.
Adaptive service function selection for Network Function Virtualization networking;;Yi-Wei Ma, Jiann-Liang Chen, Jia-Yi Jhou;Future Generation Computer Systems;In multiple Service Nodes (SNs) in a Network Function Virtualization (NFV) environment, numerous network functions are carried out. This study concerns the selection of Service Function Instances (SFIs) that are integrated into a Service Function Path (SFP) in resource-constrained networks with various functional requirements. Imbalanced loads in the network system are prevented and a service chain with a high Service Level Agreement (SLA) is developed. An NFV-based Service Function Chain (SFC) integration architecture is designed and an SFP selection mechanism is developed to provide a flexible service chain that satisfies service requests. Two cases are discussed to analyze the effectiveness of the mechanism. The proposed SFP selection mechanism improves the resource utilization of SFIs, prevents the overloading of SFIs, increases the number of service chains that can be serviced by the system, and reduces the packet loss rate. The proposed selection mechanism is compared with without selection mechanism to verify its performance. In case 1, only the load of the SFIs is considered. An SFC controller with the proposed SFP selection mechanism improves resource utilization by 21.32% and reduces the standard deviation of instantaneous loads by 30.02%. In case 2, the acceptable price of instances of service function is considered. The case 2 improves resource utilization by 10.31%, and the standard deviation of the instantaneous load is reduced by 18.73%. An analysis of the rejection rate indicates that the proposed mechanism improves the number of service chains that can be serviced by the system and reduces the mean packet loss rate by 1.91%.;ScienceDirect;10.1016/j.future.2018.06.051.
COMPOSER: A compact open-source service platform;;Ivano Cerrato, Fulvio Risso, Roberto Bonafiglia, Kostas Pentikousis, Gergely Pongrácz, Hagen Woesner;Computer Networks;Compute and network virtualization enable to deliver network services with unprecedented agility and flexibility based on (a) the programmatic placement of service functions across the available infrastructure and (b) the real-time setup of the corresponding network paths. This paper presents and validates COMPOSER, a compact, flexible and high-performance service platform for the deployment of network services. COMPOSER supports multiple virtualization engines (e.g., virtual machines, containers, native network functions) and it can use seamlessly the above different execution environments to instantiate network services belonging to different chains, hence facilitating domain-oriented orchestration and enabling the joint optimization of compute and network resources. We demonstrate that COMPOSER can run on resource-constrained hardware, such as residential gateways, as well as on high-performance servers. Finally, COMPOSER integrates optimized data plane components that enable our platform to reach top-class results with respect to data plane performance as well.;ScienceDirect;10.1016/j.comnet.2018.04.012.
Creation of a Depth Map from Stereo Images of Faces for 3D Model Reconstruction;;Olga Krutikova, Aleksandrs Sisojevs, Mihails Kovalovs;Procedia Computer Science;Today the 3D reconstruction of faces is an actual task. It is being used in various fields, for example, in scientific research, in recognition, in video games and in the movie industry. One of the existing methods of reconstructing 3D models of faces uses stereo cameras. The reconstruction process usually consists of several steps: calibration of cameras, acquiring the depth map (disparity map) and the creation of the 3D model. In this paper a method of acquiring a depth map is proposed that can later be used for the reconstruction of a 3D model of a face. The proposed method was tested in a virtual environment - a 3D editor “Autodesk 3Ds Max” was used to create a virtual scene containing stereo cameras and a human head. The proposed method was also tested using two “VISAR” cameras, and an “Arduino Micro” microcontroller. “Arduino” software allows to ensure synchronization of cameras, when using the “Arduino Micro” microcontroller. The images are captured from the cameras by using the “FlyCap” program. Since the initial images contain distortions, the first step of the algorithm is the calibrations of cameras. For calibration, similar points are found on both stereo images. These points are later used to calculate the degree of distortion, and the images are rectified accordingly. The rectified images are used to calculate the depth map. The depth map is created from the front half-tone images of faces.;ScienceDirect;10.1016/j.procs.2017.01.159.
Tile-based 360-degree video streaming for mobile virtual reality in cyber physical system;;Jangwoo Son, Eun-Seok Ryu;Computers & Electrical Engineering;Today, the demand for and interest in virtual reality (VR) is increasing, since we can now easily experience VR in many applications. However, the computational ability of mobile VR is limited compared to that of tethered VR. Since VR represents a 360-degree area, providing high quality only for the area viewed by the user saves considerable bandwidth. Therefore, we propose a new tile-based streaming method that transforms 360-degree videos into mobile VR using high efficiency video coding (HEVC) and the scalability extension of HEVC (SHVC). While the SHVC base layer (BL) represents the entire picture, the enhancement layer (EL) can transmit only the desired tiles by applying the proposed method. By transmitting the BL and EL using region of interest (ROI) tiles, the proposed method helps reduce not only the computational complexity on the decoder side but also the network bandwidth.;ScienceDirect;10.1016/j.compeleceng.2018.10.002.
Novel architectural space exploration environment for multi-FPGA based prototyping systems;;Umer Farooq, Roselyne Chotin-Avot, Moazam Azeem, Maminionja Ravoson, Habib Mehrez;Microprocessors and Microsystems;Prototyping of complex digital systems using multi-FPGA platforms offers several key advantages over other prototyping techniques. These advantages include higher execution speed, lower cost, and real world testing experience. The quality of a prototyped design, however, is adversely affected by nonexistence of multi-FPGA exploration environments. This work presents a novel, generalized exploration environment for multi-FPGA platforms that gives end-to-end exploration experience. For experimentation purpose, ten large benchmarks are generated, synthesized, and partitioned using a combination of locally developed and commercial tools. FPGA board exploration is then performed through locally developed timing-driven inter-FPGA routing tool where five FPGA boards are used and for each board, four different inter-FPGA track combinations are explored. For experimentation, number of FPGAs on board are varied from two to six and impact of this variation is observed on the frequency of prototyped design. Experimental results show that FPGA boards with inter-FPGA tracks corresponding closely to cut net requirement of partitioned benchmarks give, on average, best frequency results. Moreover, FPGA boards having higher number of FPGAs give, on average, better frequency results as compared to boards having smaller number of FPGAs. Furthermore, a comparison between timing-driven and routability-driven inter-FPGA routing approaches shows that former approach requires, on average, 46% less execution time than the later while giving same frequency results. Finally, validation of proposed environment is also performed through in-circuit verification of sample benchmarks on a stack of FPGA boards.;ScienceDirect;10.1016/j.micpro.2017.12.006.
